session_timestamp_ms,phase,airflow_raw,timestamp_ms
55283,relax,19,55283
55333,relax,13,55333
55384,relax,7,55384
55434,relax,5,55434
55485,relax,1,55485
55536,relax,1,55536
55587,relax,2,55587
55637,relax,2,55637
55688,relax,7,55688
55738,relax,2,55738
55789,relax,1,55789
55840,relax,2,55840
55891,relax,1,55891
55941,relax,2,55941
55992,relax,2,55992
56042,relax,1,56042
56093,relax,0,56093
56144,relax,0,56144
56194,relax,0,56194
56245,relax,0,56245
56295,relax,0,56295
56347,relax,0,56347
56397,relax,0,56397
56448,relax,0,56448
56498,relax,0,56498
56549,relax,0,56549
56599,relax,0,56599
56650,relax,0,56650
56701,relax,0,56701
56751,relax,0,56751
56802,relax,8,56802
56852,relax,1,56852
56904,relax,0,56904
56954,relax,0,56954
57005,relax,1,57005
57055,relax,1,57055
57106,relax,1,57106
57157,relax,0,57157
57207,relax,0,57207
57258,relax,0,57258
57308,relax,0,57308
57359,relax,0,57359
57409,relax,0,57409
57461,relax,0,57461
57511,relax,0,57511
57562,relax,0,57562
57612,relax,0,57612
57663,relax,0,57663
57714,relax,0,57714
57764,relax,0,57764
57815,relax,0,57815
57865,relax,0,57865
57916,relax,0,57916
57967,relax,0,57967
58018,relax,0,58018
58068,relax,0,58068
58119,relax,0,58119
58169,relax,0,58169
58219,relax,4,58219
58271,relax,0,58271
58321,relax,0,58321
58372,relax,0,58372
58422,relax,0,58422
58473,relax,0,58473
58524,relax,0,58524
58575,relax,0,58575
58625,relax,0,58625
58676,relax,0,58676
58726,relax,0,58726
58777,relax,0,58777
58828,relax,0,58828
58878,relax,0,58878
58929,relax,0,58929
58979,relax,0,58979
59030,relax,0,59030
59081,relax,0,59081
59132,relax,0,59132
59182,relax,2,59182
59233,relax,2,59233
59283,relax,2,59283
59334,relax,14,59334
59385,relax,30,59385
59436,relax,43,59436
59486,relax,52,59486
59537,relax,59,59537
59588,relax,63,59588
59639,relax,75,59639
59689,relax,77,59689
59740,relax,81,59740
59790,relax,81,59790
59841,relax,85,59841
59892,relax,87,59892
59943,relax,90,59943
59993,relax,92,59993
60044,relax,94,60044
60094,relax,98,60094
60146,relax,97,60146
60196,relax,101,60196
60247,relax,101,60247
60297,relax,102,60297
60348,relax,99,60348
60400,relax,99,60400
60450,relax,94,60450
60501,relax,91,60501
60551,relax,91,60551
60602,relax,88,60602
60652,relax,87,60652
60704,relax,82,60704
60754,relax,81,60754
60805,relax,78,60805
60855,relax,77,60855
60906,relax,84,60906
60957,relax,74,60957
61008,relax,69,61008
61058,relax,72,61058
61109,relax,68,61109
61159,relax,69,61159
61211,relax,74,61211
61261,relax,66,61261
61312,relax,64,61312
61362,relax,62,61362
61413,relax,66,61413
61463,relax,68,61463
61515,relax,73,61515
61565,relax,73,61565
61616,relax,77,61616
61667,relax,73,61667
61717,relax,67,61717
61769,relax,60,61769
61819,relax,51,61819
61870,relax,38,61870
61920,relax,29,61920
61971,relax,16,61971
62022,relax,6,62022
62073,relax,2,62073
62123,relax,1,62123
62174,relax,3,62174
62224,relax,5,62224
62274,relax,0,62274
62326,relax,0,62326
62376,relax,6,62376
62427,relax,0,62427
62477,relax,0,62477
62528,relax,0,62528
62579,relax,0,62579
62630,relax,0,62630
62680,relax,0,62680
62731,relax,0,62731
62781,relax,0,62781
62832,relax,0,62832
62883,relax,0,62883
62933,relax,0,62933
62984,relax,0,62984
63034,relax,0,63034
63085,relax,0,63085
63136,relax,0,63136
63187,relax,0,63187
63237,relax,0,63237
63288,relax,0,63288
63338,relax,0,63338
63389,relax,0,63389
63440,relax,1,63440
63490,relax,11,63490
63541,relax,1,63541
63591,relax,4,63591
63643,relax,9,63643
63693,relax,15,63693
63744,relax,21,63744
63794,relax,30,63794
63845,relax,31,63845
63895,relax,40,63895
63947,relax,44,63947
