session_timestamp_ms,phase,gsr,ecg_raw
2519,relax,,2.17
2522,relax,,1.843
2525,relax,,1.505
2527,relax,,1.398
2530,relax,,1.642
2533,relax,,2.082
2535,relax,,2.317
2538,relax,,2.239
2541,relax,,1.921
2543,relax,,1.564
2546,relax,,1.373
2549,relax,,1.549
2551,relax,,1.975
2554,relax,,2.297
2557,relax,,2.283
2560,relax,,1.989
2563,relax,,1.608
2566,relax,,1.354
2569,relax,,1.417
2571,relax,,1.784
2574,relax,,2.146
2577,relax,,2.229
2579,relax,,2.014
2582,relax,,1.657
2585,relax,,1.349
2587,relax,,1.334
2590,relax,,1.672
2593,relax,,2.111
2595,relax,,2.283
2598,relax,,2.126
2601,relax,,1.76
2605,relax,,1.373
2607,relax,,1.207
2610,relax,,1.31
2613,relax,,1.593
2615,relax,,1.725
2618,relax,,1.588
2621,relax,,1.281
2623,relax,,0.982
2626,relax,,0.909
2629,relax,,1.119
2631,relax,,1.647
2634,relax,1.24,2.111
2637,relax,,2.263
2640,relax,,2.141
2642,relax,,1.896
2646,relax,,1.799
2649,relax,,1.931
2651,relax,,2.346
2654,relax,,2.674
2657,relax,,2.664
2659,relax,,2.331
2662,relax,,1.867
2665,relax,,1.476
2667,relax,,1.369
2670,relax,,1.628
2673,relax,,2.019
2675,relax,,2.17
2678,relax,,2.019
2681,relax,,1.667
2684,relax,,1.315
2686,relax,,1.197
2690,relax,,1.437
2693,relax,,1.882
2695,relax,,2.141
2698,relax,,2.067
2701,relax,,1.745
2703,relax,,1.364
2706,relax,,1.163
2709,relax,,1.329
2711,relax,,1.76
2714,relax,,2.111
2717,relax,,2.131
2720,relax,,1.872
2722,relax,,1.51
2725,relax,,1.271
2728,relax,,1.3
2731,relax,,1.676
2734,relax,,2.058
2737,relax,,2.146
2739,relax,,1.931
2742,relax,,1.564
2745,relax,,1.237
2747,relax,,1.193
2750,relax,,1.51
2753,relax,,1.935
2756,relax,,2.121
2758,relax,,1.989
2761,relax,,1.642
2764,relax,,1.29
2766,relax,,1.158
2769,relax,,1.388
2772,relax,,1.823
2775,relax,,2.082
2778,relax,,2.023
2781,relax,,1.72
2783,relax,,1.349
